branch	Chr01	Chr02	Chr03	Chr05	Chr08
3	0	0	0	0	0
3	0	0	0	0	0
3	0	0	0	0	0
3	0	0	0	0	0
3	0	0	0	0	0
3	0	0	0	0	0
3	0	0	0	0	0
3	0	0	0	0	0
3	0	0	0	0	0
3	0	0	0	0	0
3	0	0	0	0	0
3	0	0	0	0	0
3	0	0	0	0	0
3	0	0	0	0	0
3	0	0	0	0	0
3	0	0	0	0	0
3	0	0	0	0	0
3	0	0	0	0	0
3	0	0	0	0	0
3	0	0	0	0	0
3	0	0	0	0	0
3	0	0	0	0	0
3	0	0	0	0	0
3	0	0	0	0	0
3	0	0	0	0	0
3	0	0	0	0	0
3	0	0	0	0	0
3	0	0	0	0	0
3	0	0	0	0	0
3	0	0	0	0	0
3	0	0	0	0	0
3	0	0	0	0	0
3	0	0	0	0	0
3	0	0	0	0	0
3	0	0	0	0	0
3	0	0	0	0	0
3	0	0	0	0	0
3	0	0	0	0	0
3	0	0	0	0	0
3	0	0	0	0	0
3	0	0	0	0	0
3	0	0	0	0	0
3	0	0	0	0	0
3	0	0	0	0	0
3	0	0	0	0	0
3	0	0	0	0	0
3	0	0	0	0	0
3	0	0	0	0	0
3	0	0	0	0	0
3	0	0	0	0	0
3	0	0	0	0	0
3	0	0	0	0	0
3	0	0	0	0	0
3	0	0	0	0	0
3	0	0	0	0	0
3	0	0	0	0	0
3	0	0	0	0	0
3	0	0	0	0	0
3	0	0	0	0	0
3	0	0	0	0	0
3	0	0	0	0	0
3	0	0	0	0	0
3	0	0	0	0	0
3	0	0	0	0	0
3	0	0	0	0	0
3	0	0	0	0	0
3	0	0	0	0	0
3	0	0	0	0	0
3	0	0	0	0	0
3	0	0	0	0	0
3	0	0	0	0	0
3	0	0	0	0	0
3	0	0	0	0	0
3	0	0	0	0	0
3	0	0	0	0	0
3	0	0	0	0	0
3	0	0	0	0	0
3	0	0	0	0	0
3	0	0	0	0	0
3	0	0	0	0	0
3	0	0	0	0	0
3	249	45	328	269	109
3	250	44	328	268	110
3	249	42	330	269	110
3	245	46	331	268	110
3	241	51	332	266	110
3	240	50	335	266	109
3	241	49	335	266	109
3	241	48	336	266	109
3	243	45	338	265	109
3	235	52	340	264	109
3	232	52	341	265	110
3	227	58	343	262	110
3	229	56	345	261	109
3	229	53	345	264	109
3	227	54	346	264	109
3	231	49	347	265	108
3	233	46	346	265	110
3	235	47	347	261	110
3	232	52	348	258	110
3	234	52	349	255	110
3	236	49	350	255	110
3	237	48	352	254	109
3	239	43	353	256	109
3	239	43	354	253	111
3	238	41	354	256	111
3	241	41	357	251	110
3	241	39	360	251	109
3	246	33	362	250	109
3	245	31	362	252	110
3	247	29	364	252	108
3	246	28	367	251	108
3	244	30	366	251	109
3	240	34	367	251	108
3	240	32	368	252	108
3	239	33	369	251	108
3	240	34	369	247	110
3	237	40	370	242	111
3	236	40	371	241	112
3	236	40	370	241	113
3	235	40	371	243	111
3	235	40	370	243	112
3	237	36	371	244	112
3	236	34	373	246	111
3	235	35	375	244	111
3	232	35	378	244	111
3	232	34	379	243	112
3	232	34	381	241	112
3	229	37	383	240	111
3	231	35	384	239	111
3	228	36	386	239	111
3	227	37	387	238	111
3	228	36	390	236	110
3	230	34	392	233	111
3	228	37	396	229	110
3	226	39	400	226	109
3	228	37	400	225	110
3	228	37	402	223	110
3	229	36	401	223	111
3	232	35	403	222	108
3	234	34	403	222	107
3	232	34	405	224	105
3	233	35	408	220	104
3	236	32	409	219	104
3	237	29	411	219	104
3	237	29	412	219	103
3	239	29	413	216	103
3	237	32	413	215	103
3	235	33	416	214	102
3	232	35	420	212	101
3	231	35	420	212	102
3	232	32	420	214	102
3	231	33	420	213	103
3	229	34	421	214	102
3	227	36	422	213	102
3	225	37	425	211	102
3	219	44	426	209	102
3	220	42	428	208	102
3	219	43	431	206	101
3	220	42	432	205	101
3	221	43	432	203	101
3	222	41	436	200	101
3	221	39	438	201	101
3	219	39	439	201	102
3	218	40	441	199	102
3	218	40	443	197	102
3	219	40	443	196	102
3	222	36	443	197	102
3	223	34	444	197	102
3	223	34	445	196	102
3	220	37	445	196	102
3	217	41	445	195	102
3	215	43	445	194	103
3	211	46	448	194	101
3	210	46	449	194	101
3	212	46	449	192	101
3	210	47	449	192	102
3	212	45	451	191	101
3	208	47	454	189	101
3	188	45	442	175	98
3	11	4	7	15	4
3	0	0	0	0	0
3	0	0	0	0	0
3	0	0	0	0	0
3	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	209	46	459	187	99
4	211	42	460	188	99
4	210	41	461	189	99
4	209	41	463	188	99
4	211	38	463	189	99
4	210	37	461	191	101
4	208	38	464	189	101
4	211	36	466	186	101
4	212	36	467	184	101
4	210	37	472	181	100
4	210	36	473	181	100
4	207	38	473	182	100
4	205	40	472	182	101
4	204	38	475	183	100
4	202	40	477	180	101
4	203	37	477	181	102
4	204	37	479	179	101
4	202	39	479	178	102
4	200	40	478	179	103
4	198	43	478	178	103
4	199	44	481	174	102
4	202	43	481	170	104
4	200	43	484	168	105
4	195	45	486	169	105
4	193	48	486	168	105
4	190	49	489	167	105
4	190	46	492	169	103
4	189	45	494	170	102
4	194	40	496	168	102
4	191	40	499	167	103
4	191	40	501	166	102
4	190	41	501	165	103
4	188	42	502	166	102
4	185	45	502	166	102
4	184	46	503	165	102
4	184	42	506	165	103
4	184	40	510	165	101
4	188	39	512	161	100
4	188	40	513	159	100
4	190	36	514	160	100
4	190	35	515	159	101
4	191	33	516	159	101
4	190	34	517	159	100
4	187	36	518	159	100
4	190	33	519	159	99
4	187	35	521	159	98
4	186	36	522	158	98
4	186	37	523	156	98
4	181	40	522	157	100
4	183	37	524	156	100
4	179	38	524	158	101
4	178	35	525	160	102
4	178	35	526	159	102
4	177	35	525	160	103
4	178	33	528	159	102
4	176	35	533	155	101
4	177	35	537	152	99
4	178	34	538	151	99
4	172	39	540	151	98
4	172	40	542	149	97
4	171	38	547	148	96
4	169	40	548	148	95
4	169	40	550	147	94
4	173	38	553	142	94
4	173	38	552	142	95
4	173	36	552	143	96
4	171	37	552	143	97
4	168	39	555	142	96
4	167	42	557	139	95
4	171	39	559	137	94
4	169	41	561	136	93
4	166	41	562	138	93
4	164	43	564	137	92
4	161	43	566	138	92
4	159	43	568	139	91
4	161	41	568	139	91
4	160	42	570	137	91
4	159	41	572	139	89
4	158	40	579	134	89
4	154	39	582	135	90
4	153	38	582	137	90
4	151	38	584	137	90
4	149	37	584	138	92
4	150	34	589	135	92
4	150	33	587	136	94
4	147	36	588	136	93
4	146	35	590	136	93
4	148	32	590	137	93
4	150	29	591	137	93
4	147	31	595	135	92
4	146	30	596	136	92
4	148	25	599	136	92
4	144	26	601	137	92
4	144	24	602	138	92
4	141	25	603	140	91
4	140	24	604	141	91
4	140	25	604	140	91
4	139	25	605	140	91
4	140	24	607	139	90
4	138	26	606	139	91
4	136	27	607	140	90
4	136	24	609	141	90
4	133	27	609	141	90
4	136	22	610	142	90
4	135	23	608	143	91
4	136	22	609	142	91
4	135	21	609	144	91
4	134	22	613	142	89
4	131	25	614	141	89
4	130	26	615	140	89
4	129	28	618	137	88
4	127	30	618	137	88
4	125	30	620	138	87
4	121	32	624	137	86
4	124	32	625	133	86
4	122	32	627	134	85
4	119	32	631	135	83
4	118	32	634	134	82
4	119	30	637	132	82
4	119	31	638	130	82
4	118	31	639	131	81
4	117	32	639	131	81
4	115	34	638	131	82
4	116	31	637	133	83
4	116	30	637	133	84
4	114	30	638	133	85
4	109	34	639	133	85
4	106	35	639	135	85
4	104	35	639	137	85
4	105	33	638	137	87
4	107	32	640	134	87
4	105	34	643	132	86
4	102	38	643	131	86
4	101	37	643	132	87
4	104	34	645	130	87
4	100	35	650	129	86
4	99	35	651	129	86
4	100	34	652	129	85
4	103	33	654	125	85
4	103	32	657	123	85
4	103	33	656	122	86
4	105	28	660	122	85
4	107	25	662	122	84
4	108	24	665	120	83
4	108	22	672	116	82
4	105	22	675	117	81
4	105	20	676	118	81
4	104	19	680	115	82
4	103	18	680	117	82
4	101	19	680	118	82
4	101	20	681	117	81
4	98	22	683	116	81
4	96	21	687	115	81
4	98	18	692	111	81
4	99	17	695	110	79
4	98	18	697	109	78
4	95	21	697	109	78
4	94	22	699	107	78
4	93	23	700	106	78
4	93	22	701	106	78
4	93	22	704	105	76
4	94	23	704	102	77
4	93	22	705	103	77
4	93	20	706	105	76
4	96	19	708	102	75
4	95	18	709	103	75
4	94	18	713	101	74
4	94	19	714	99	74
4	93	17	714	102	74
4	92	15	715	104	74
4	92	13	716	105	74
4	91	14	717	104	74
4	90	14	718	104	74
4	91	14	719	102	74
4	89	12	721	104	74
4	88	12	721	105	74
4	88	12	723	104	73
4	86	14	723	103	74
4	86	14	724	102	74
4	87	13	726	101	73
4	90	11	725	99	75
4	89	12	727	98	74
4	86	15	728	97	74
4	87	15	730	95	73
4	88	15	730	94	73
4	87	16	729	94	74
4	87	16	729	94	74
4	85	17	730	94	74
4	85	17	731	94	73
4	82	19	732	94	73
4	79	21	733	93	74
4	77	21	736	92	74
4	76	21	739	90	74
4	76	18	742	90	74
4	74	18	747	88	73
4	76	16	747	89	72
4	78	13	750	87	72
4	76	14	751	88	71
4	75	14	752	86	73
4	74	14	754	85	73
4	73	15	756	83	73
4	72	15	757	84	72
4	73	14	759	82	72
4	72	15	761	81	71
4	72	16	764	78	70
4	70	16	765	79	70
4	67	18	766	78	71
4	65	20	768	76	71
4	64	20	768	77	71
4	65	18	768	77	72
4	63	18	771	77	71
4	62	19	773	76	70
4	60	21	774	75	70
4	60	21	774	74	71
4	58	21	778	72	71
4	57	20	781	73	69
4	57	19	782	73	69
4	56	18	785	73	68
4	56	18	786	72	68
4	53	19	787	73	68
4	53	18	790	72	67
4	52	15	793	74	66
4	52	15	797	74	62
4	51	14	799	73	63
4	52	11	799	75	63
4	51	12	799	75	63
4	51	10	798	77	64
4	47	14	799	76	64
4	47	13	802	76	62
4	46	13	803	76	62
4	47	14	802	74	63
4	47	14	802	74	63
4	46	14	806	74	60
4	45	14	806	75	60
4	46	11	812	74	57
4	45	11	814	74	56
4	45	11	818	71	55
4	45	11	819	71	54
4	46	9	819	71	55
4	46	8	822	69	55
4	44	10	822	69	55
4	43	10	823	69	55
4	43	9	824	70	54
4	43	8	827	70	52
4	42	8	827	71	52
4	42	8	826	71	53
4	43	7	825	71	54
4	43	8	827	68	54
4	43	6	830	68	53
4	40	9	829	68	54
4	38	11	830	68	53
4	37	12	832	67	52
4	36	12	834	66	52
4	36	12	833	66	53
4	36	11	834	67	52
4	36	11	834	67	52
4	35	12	835	67	51
4	32	10	839	68	51
4	33	10	841	66	50
4	31	9	844	66	50
4	31	8	847	64	50
4	31	7	847	65	50
4	30	8	849	62	51
4	28	9	850	63	50
4	26	9	853	62	50
4	25	10	854	61	50
4	24	12	855	59	50
4	25	10	855	60	50
4	25	10	857	58	50
4	25	9	858	59	49
4	22	11	862	57	48
4	22	11	862	57	48
4	20	12	866	55	47
4	20	12	866	55	47
4	19	13	866	55	47
4	18	12	869	55	46
4	16	14	872	52	46
4	17	13	875	51	44
4	17	11	877	53	42
4	15	13	880	53	39
4	15	12	880	54	39
4	15	12	884	51	38
4	16	11	885	50	38
4	16	11	889	49	35
4	16	11	891	49	33
4	16	11	891	49	33
4	15	12	892	49	32
4	15	12	893	49	31
4	15	10	895	49	31
4	15	10	897	47	31
4	14	10	898	47	31
4	14	11	899	45	31
4	15	11	900	44	30
4	14	11	903	42	30
4	15	11	905	40	29
4	15	10	909	39	27
4	15	10	910	38	27
4	15	10	909	38	28
4	15	10	911	37	27
4	15	9	911	38	27
4	15	7	912	39	27
4	13	8	915	37	27
4	13	7	918	35	27
4	12	7	923	33	25
4	12	6	927	31	24
4	12	6	927	30	25
4	12	5	930	30	23
4	11	6	931	29	23
4	10	7	931	29	23
4	10	7	933	28	22
4	9	8	934	28	21
4	8	8	936	27	21
4	7	8	938	26	21
4	7	5	941	27	20
4	7	4	944	25	20
4	4	5	947	25	19
4	4	5	951	23	17
4	4	4	953	22	17
4	4	3	958	20	15
4	3	4	959	19	15
4	3	3	965	15	14
4	3	3	968	12	14
4	2	4	971	11	12
4	2	4	973	10	11
4	2	4	975	8	11
4	2	4	977	7	10
4	2	4	979	6	9
4	1	4	981	5	9
4	1	2	984	5	8
4	1	2	986	3	8
4	0	1	991	1	7
4	0	0	992	1	6
4	0	0	993	1	3
4	0	0	958	0	1
4	0	0	163	0	0
4	0	0	6	0	0
4	0	0	0	0	0
4	0	0	0	0	0
4	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
5	0	0	0	0	0
